Player,G,PP,POS,SCR,AST,GLS,BLK,PLUSMINUS,CMP,CMPPER,Y,TY,RY,OEFF,HA,T,S,D,C,HCK,HCKPER,PUL,OPP,DPP,MP
Alex Atkins - COL,4,27.25,24.25,4.5,3,1.5,2,2.75,34,90.07,276,193.75,82.25,48.45,1,3.25,0,0.5,0,1.5,50,19.25,5,22.25,32.32
Mark Whitton - PIT,1,27,26,3,1,2,1,3,12,,343,143,200,34.62,0,1,0,0,0,1,100,0,25,2,23.87
Ben Thoennes - ORE,8,25.5,23.13,5.13,3.75,1.38,1.63,1.5,25.63,80.39,491.63,324.75,166.88,41.62,1.75,5.13,0.13,0.13,0,3.25,53.06,10.13,11.63,13.88,27.98
Will Selfridge - SLC,9,25.22,28,6,2.67,3.33,0.67,4.78,24.11,91.95,434.22,186.22,248,60.71,1.89,1.78,0,0.11,0,1.22,61.11,0,21.22,4,26.04
Arvids Karklins - TOR,8,25,26.13,5.25,3.13,2.13,1.13,4.38,20.75,91.21,512.5,199,313.5,55.02,2,1.88,0,0.13,0,1.5,57.14,1.38,20.88,4.13,24.74
Joseph Cubitt - DET,10,24.9,33.9,3.3,2,1.3,0.6,-0.8,43.4,89.67,426,303,123,36.28,2,4.3,0,0.4,0,0.9,45,0,24.9,0,26.36
Brett Hulsmeyer - ATL,13,24.85,26.69,4.08,2.15,1.92,0.85,3,27.15,93.39,427.77,140.92,286.85,61.67,2.46,1.69,0.08,0.23,0,0.62,47.06,0.62,18.85,6,27.28
Ben Jagt - NY,13,24.85,27.23,4.85,1.38,3.46,0.69,4.62,15.31,93.87,331.23,47.85,283.38,56.5,1.62,0.85,0,0.08,0,0.08,25,2.31,21.69,3.15,26.67
Dan Vockeroth - LV,5,24.6,28,2.8,1.4,1.4,1.2,2.4,19.2,92.31,313.6,111.8,201.8,32.14,1.2,1.2,0,0.4,0,0.6,50,0.2,18.8,5.8,29.16
Kyle Henke - ATX,13,24.54,28.23,4.38,2.23,2.15,0.92,2.85,32.85,91.83,499.31,261.15,238.15,56.13,2.77,2.46,0.08,0,0,1.23,51.61,0.08,22.31,2.23,25.93
Marcel Oliart - PIT,9,24.44,28.67,4.78,1.44,3.33,0.56,4,25.22,94.98,400.89,111.11,289.78,45.74,2,1.11,0,0.22,0,0.22,100,0,23.56,0.89,26.52
Seth Gudeman - IND,10,24.4,28.8,4.6,1.9,2.7,2,4.4,26.6,90.78,388.7,134.9,253.8,38.89,1.5,2.2,0.1,0,0.1,0.6,42.86,2.9,18.9,5.5,27.22
Jake Felton - DET,12,24.33,30.92,6.67,5.17,1.5,0.33,1.33,33.83,83.88,545.17,396.67,148.5,36.12,1.5,5.5,0,0.17,0,4.08,59.04,0.75,23,1.33,24.86
Lukas Ambrose - SEA,9,24.22,15.89,2.11,0.44,1.67,1.44,2.67,9.56,91.49,167.44,48.11,119.33,51.05,1.22,0.78,0,0.11,0,0.11,50,7.89,4.78,19.44,25.41
James Lewis - TOR,11,24.09,27.09,4.91,2,2.91,0.82,4.27,26.09,94.1,468.55,172.73,295.82,54.03,2.45,1.36,0,0.09,0,0.36,57.14,0.09,21.18,2.91,24.58
Ben Dameron - NY,1,24,29,4,3,1,0,2,30,90.91,473,227,246,51.72,2,2,0,0,0,0,,0,24,0,27.07
Chad Yorgason - SLC,13,24,26.31,5.69,3.38,2.31,0.31,4.08,21.31,92.33,507.69,234.92,272.77,60.23,2.46,1.69,0,0.23,0,2,81.25,0,20,4,24.59
Sol Yanuck - CAR,1,24,27,3,2,1,0,3,45,100,313,219,94,70.37,3,0,0,0,0,0,,0,23,1,22.68
