Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards,Code
Ameer Abdullah,31,LVR,RB,16,3,0,0,0,0,0,0,2,1,0,0,0,4,2,2,0,0,0,,AbduAm00
Yasir Abdullah,24,JAX,LB,14,3,0,0,0,0,0,0,0,0,0,0,0,18,14,4,0,1,0,,AbduYa00
Micah Abernathy,27,ATL,S,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,,AberMi00
Johnathan Abram,28,NOR,S,3,0,1,30,0,30,2,0,0,0,0,0,0,18,10,8,0,0,0,,AbraJo01
Kris Abrams-Draine,23,DEN,CB,5,1,1,17,0,17,2,0,0,0,0,0,0,9,5,4,0,0,0,,AbraKr00
De'Von Achane,23,MIA,RB,17,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,AchaDe00
Jamal Adams,29,2TM,DB,5,3,0,0,0,0,0,0,0,0,0,0,0,7,4,3,0,0,0,,AdamJa00
Matthew Adams,29,NYG,LB,13,0,0,0,0,0,0,0,0,1,0,0,0,4,3,1,0,0,0,,AdamMa00
Montravius Adams,29,PIT,DT,11,0,0,0,0,0,0,0,0,0,0,0,1,14,9,5,2,1,0,,AdamMo00
Myles Adams,26,2TM,DL,7,0,0,0,0,0,0,0,0,0,0,0,1,7,4,3,1,2,0,,AdamMy00
Tony Adams,25,NYJ,S,15,11,1,0,0,0,6,0,0,0,0,0,1,84,42,42,2,2,0,,AdamTo03
Adetomiwa Adebawore,23,IND,DT,16,0,0,0,0,0,0,0,0,0,0,0,1,7,5,2,3,2,0,,AdebAd00
Paulson Adebo,25,NOR,CB,7,7,3,68,0,47,10,0,0,0,0,0,0,52,43,9,1,1,0,,AdebPa00
Nate Adkins,25,DEN,TE,17,10,0,0,0,0,0,0,0,0,0,0,0,5,2,3,0,0,0,,AdkiNa00
Cal Adomitis,26,CIN,LS,17,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,,AdomCa00
Mitchell Agude,25,DET,LB,4,0,0,0,0,0,0,1,0,0,0,0,0,3,2,1,0,0,0,,AgudMi01
Cam Akers,25,HOU,RB,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,AkerCa00
Jordan Akins,32,CLE,TE,17,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,AkinJo00
Azeez Al-Shaair,27,HOU,LB,11,11,0,0,0,0,4,2,0,0,0,0,2,70,45,25,7,7,0,,AlShAz00
Jaire Alexander,27,GNB,CB,7,7,2,52,1,35,7,0,0,1,0,0,0,16,15,1,0,0,0,,AlexJa00
Kwon Alexander,30,2TM,LB,5,4,0,0,0,0,0,1,0,1,0,0,0,12,4,8,0,0,0,,AlexKw00
Maurice Alexander,27,DET,WR,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,AlexMa02
DeAundre Alford,27,ATL,CB,16,11,0,0,0,0,11,1,0,0,0,0,1,83,61,22,1,1,0,,AlfoDe00
Rasheen Ali,23,BAL,RB,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,AlixRa00
Nick Allegretti,28,WAS,G,17,17,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,AlleNi00
Braelon Allen,20,NYJ,RB,17,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,AlleBr05
Brandon Allen,32,SFO,QB,3,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,,AlleBr00
Jonathan Allen,29,WAS,DT,8,7,0,0,0,0,0,0,0,0,0,0,3,19,16,3,3,7,0,,AlleJo01
Josh Allen,28,BUF,QB,17,17,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,PBAP-2,AlleJo02
Keenan Allen,32,CHI,WR,15,15,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,AlleKe00
Zach Allen,27,DEN,DL,16,16,0,0,0,0,1,0,0,0,0,0,8.5,61,32,29,15,40,1,AP-2,AlleZa01
Tyler Allgeier,24,ATL,RB,17,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,,AllgTy00
Ugo Amadi,27,NOR,S,11,5,0,0,0,0,7,0,0,0,0,0,2,65,52,13,6,2,0,,AmadUg00
Troy Andersen,25,ATL,LB,7,4,1,47,1,47,1,0,0,0,0,0,0,47,28,19,1,1,0,,AndeTr00
Alec Anderson,25,BUF,T,17,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,AndeAl01
Evan Anderson,22,SFO,DL,12,1,0,0,0,0,0,1,0,1,0,0,1,24,13,11,2,2,0,,AndeEv00
Tycen Anderson,25,CIN,S,17,0,0,0,0,0,0,0,0,0,0,0,0,11,10,1,0,0,0,,AndeTy00
