Team,G,W,L,S,SA,C,T,H,HT,HLD,B,BRK
Union,13,0.92,0.08,24.15,14.62,265.69,17.69,6.54,5.62,11.69,13.62,12.46
Shred,14,0.86,0.14,23.29,18.57,232.57,14.71,8.64,3.14,14.79,9.86,8.43
Glory,15,0.8,0.2,19.07,15.8,288.47,13.87,6.2,3.53,12.2,10,6.8
Wind Chill,16,0.75,0.25,22.06,16.5,232.75,18.75,6.06,5.31,11.38,12.75,10.69
Hustle,14,0.71,0.29,20.79,17.93,257.5,12,7.64,2.64,14.5,8.5,6.14
Spiders,14,0.71,0.29,22.86,17.36,284.64,17.14,5.93,3.14,14.36,11.93,8.43
Sol,13,0.69,0.31,21.23,19.46,237.62,17,5.85,4.15,14.23,9.23,7
Apex,13,0.62,0.38,21.62,18,246.31,18.54,8.62,5.85,13,10.31,8.62
Flyers,12,0.58,0.42,21.58,19.08,279.17,15.42,7.75,2.5,15.08,10.67,6.5
Breeze,14,0.57,0.43,18.14,17.21,300.57,15.29,4.57,3.29,12.36,8.5,5.79
Growlers,14,0.57,0.43,20.86,19,231.86,16.5,7.5,3.36,14.21,10.64,6.64
Empire,13,0.54,0.46,20.31,19.69,255.92,15.38,6.54,3.54,14.69,9.08,5.62
Radicals,13,0.54,0.46,20.15,17.85,228.31,19.77,7,3.77,12,12.54,7.77
Phoenix,12,0.5,0.5,18.58,18.92,247.33,16.17,7.08,4.5,13.33,8.67,5.25
AlleyCats,12,0.33,0.67,18,23.33,287.08,26.58,5.92,6,12.25,12.75,5.75
Cascades,12,0.33,0.67,20.58,20.08,235.67,19.42,9.17,2.92,14,10.5,6.58
Royal,12,0.33,0.67,19.25,21,226.42,19.25,8.5,4.33,14,10.08,5.25
Aviators,12,0.25,0.75,17,20.42,291.67,20.58,6.67,4.75,12.42,9,4.58
Rush,12,0.25,0.75,19.58,21.08,233.5,17.58,7.67,5.5,14.83,8.08,4.75
Steel,12,0.25,0.75,16.08,22.25,251.75,25.83,8.17,6.75,11.92,8,4.17
Thunderbirds,12,0.25,0.75,17.42,22.67,271.5,23,6.33,6.42,12.75,8.92,4.67
Havoc,12,0.17,0.83,18.58,23.5,252.33,20,6.75,3.83,14.92,7.08,3.67
Mechanix,12,0.08,0.92,15.67,27.33,228.58,30,7.92,7.08,12.75,8.75,2.92
Bighorns,12,0,1,12.92,24.92,199.33,30.42,8.08,9.67,10.5,8.92,2.42
